Game,Winner,Execution Time (s),Memory Usage (KB),Win Type
219,Smart,0.0107,0.75,Vertical
220,Smart,0.0044,0.75,Vertical
221,Smart,0.0107,0.75,Vertical
222,Random,0.0063,0.75,Horizontal
223,Smart,0.0044,0.75,Vertical
224,Smart,0.0044,0.75,Vertical
225,Random,0.0115,0.75,Vertical
226,Random,0.0064,0.75,Horizontal
227,Random,0.0101,0.75,Horizontal
228,Smart,0.0044,0.75,Vertical
229,Smart,0.0044,0.75,Vertical
230,Smart,0.0044,0.75,Vertical
231,Smart,0.0171,0.75,Vertical
232,Smart,0.0049,0.75,Vertical
233,Smart,0.0044,0.75,Vertical
234,Smart,0.0043,0.75,Vertical
235,Smart,0.0055,0.75,Vertical
236,Random,0.0062,0.75,Horizontal
237,Smart,0.0043,0.75,Vertical
238,Smart,0.0043,0.75,Vertical
239,Smart,0.0043,0.75,Vertical
240,Smart,0.0043,0.75,Vertical
241,Smart,0.0043,0.75,Vertical
242,Random,0.01,0.75,Vertical
243,Smart,0.0043,0.75,Vertical
244,Smart,0.0043,0.75,Vertical
245,Random,0.0087,0.75,Horizontal
246,Random,0.0172,0.75,Vertical
247,Smart,0.0043,0.75,Vertical
248,Smart,0.0146,0.75,Vertical
249,Random,0.0079,0.75,Horizontal
250,Smart,0.0047,0.75,Vertical
251,Smart,0.0096,0.75,Vertical
252,Smart,0.007,0.75,Vertical
253,Smart,0.0044,0.75,Vertical
254,Smart,0.0045,0.75,Vertical
255,Smart,0.0044,0.75,Vertical
256,Smart,0.0044,0.75,Vertical
257,Smart,0.0044,0.75,Vertical
258,Smart,0.0044,0.75,Vertical
259,Smart,0.0044,0.75,Vertical
260,Smart,0.0044,0.75,Vertical
261,Smart,0.0044,0.75,Vertical
262,Smart,0.0063,0.75,Vertical
263,Smart,0.0044,0.75,Vertical
264,Smart,0.0044,0.75,Vertical
265,Smart,0.0059,0.75,Vertical
266,Random,0.0096,0.75,Horizontal
267,Smart,0.0044,0.75,Vertical
268,Smart,0.0047,0.75,Vertical
269,Smart,0.0153,0.75,Vertical
270,Smart,0.0109,0.75,Vertical
271,Smart,0.0044,0.75,Vertical
272,Smart,0.0044,0.75,Vertical
273,Random,0.0063,0.75,Horizontal
274,Smart,0.0106,0.75,Vertical
275,Smart,0.0057,0.75,Vertical
276,Smart,0.0044,0.75,Vertical
277,Smart,0.0108,0.75,Vertical
278,Random,0.0089,0.75,Horizontal
279,Smart,0.0095,0.75,Vertical
280,Random,0.0139,0.75,Horizontal
281,Smart,0.0044,0.75,Vertical
282,Smart,0.0047,0.75,Vertical
283,Random,0.0063,0.75,Horizontal
284,Smart,0.0107,0.75,Vertical
285,Smart,0.0094,0.75,Vertical
286,Smart,0.0044,0.75,Vertical
287,Smart,0.0044,0.75,Vertical
288,Random,0.0064,0.75,Vertical
289,Random,0.0114,0.75,Horizontal
290,Smart,0.0043,0.75,Vertical
291,Smart,0.0045,0.75,Vertical
292,Random,0.0051,0.75,Horizontal
293,Smart,0.0044,0.75,Vertical
294,Smart,0.0044,0.75,Vertical
295,Smart,0.0044,0.75,Vertical
296,Smart,0.0044,0.75,Vertical
297,Random,0.0102,0.75,Vertical
298,Random,0.0076,0.75,Horizontal
299,Smart,0.0044,0.75,Vertical
300,Smart,0.0044,0.75,Vertical
301,Smart,0.0044,0.75,Vertical
302,Random,0.0038,0.75,Horizontal
303,Smart,0.0046,0.75,Vertical
304,Smart,0.0044,0.75,Vertical
305,Smart,0.0044,0.75,Vertical
306,Smart,0.0044,0.75,Vertical
307,Smart,0.0045,0.75,Vertical
308,Random,0.005,0.75,Horizontal
309,Smart,0.0044,0.75,Vertical
310,Smart,0.0048,0.75,Vertical
311,Smart,0.0044,0.75,Vertical
312,Smart,0.0043,0.75,Vertical
313,Random,0.0128,0.75,Vertical
314,Smart,0.0044,0.75,Vertical
315,Smart,0.0045,0.75,Vertical
316,Smart,0.0056,0.75,Vertical
317,Smart,0.0044,0.75,Vertical
318,Smart,0.0045,0.75,Vertical
319,Random,0.0089,0.75,Horizontal
320,Smart,0.0044,0.75,Vertical
321,Random,0.0051,0.75,Horizontal
322,Random,0.0052,0.75,Vertical
323,Smart,0.0045,0.75,Vertical
324,Smart,0.0045,0.75,Vertical
325,Random,0.014,0.75,Vertical
326,Smart,0.0058,0.75,Vertical
327,Smart,0.0044,0.75,Vertical
328,Smart,0.0044,0.75,Vertical
329,Smart,0.0057,0.75,Vertical
330,Smart,0.0106,0.75,Vertical
331,Smart,0.0094,0.75,Vertical
332,Random,0.0089,0.75,Vertical
333,Smart,0.0044,0.75,Vertical
334,Smart,0.0044,0.75,Vertical
335,Random,0.0114,0.75,Horizontal
336,Smart,0.0044,0.75,Vertical
337,Smart,0.0044,0.75,Vertical
338,Smart,0.0047,0.75,Vertical
339,Smart,0.0044,0.75,Vertical
340,Smart,0.0044,0.75,Vertical
341,Smart,0.0045,0.75,Vertical
342,Smart,0.0044,0.75,Vertical
343,Smart,0.0056,0.75,Vertical
344,Smart,0.0044,0.75,Vertical
345,Smart,0.0046,0.75,Vertical
346,Smart,0.0044,0.75,Vertical
347,Smart,0.0056,0.75,Vertical
348,Smart,0.0045,0.75,Vertical
349,Smart,0.0057,0.75,Vertical
350,Smart,0.0044,0.75,Vertical
351,Smart,0.0045,0.75,Vertical
352,Smart,0.0043,0.75,Vertical
353,Random,0.0042,0.75,Horizontal
354,Random,0.0139,0.75,Horizontal
355,Smart,0.0044,0.75,Vertical
356,Random,0.0079,0.75,Horizontal
357,Smart,0.0044,0.75,Vertical
358,Smart,0.0044,0.75,Vertical
359,Random,0.0154,0.75,Vertical
360,Smart,0.0045,0.75,Vertical
361,Random,0.01,0.75,Horizontal
362,Random,0.0076,0.75,Horizontal
363,Smart,0.0044,0.75,Vertical
364,Smart,0.0044,0.75,Vertical
365,Smart,0.0044,0.75,Vertical
366,Smart,0.0044,0.75,Vertical
367,Smart,0.0044,0.75,Vertical
368,Smart,0.0044,0.75,Vertical
369,Smart,0.0044,0.75,Vertical
370,Random,0.0038,0.75,Horizontal
371,Smart,0.0044,0.75,Vertical
372,Smart,0.0044,0.75,Vertical
373,Smart,0.0044,0.75,Vertical
374,Smart,0.0044,0.75,Vertical
375,Smart,0.0045,0.75,Vertical
376,Smart,0.0044,0.75,Vertical
377,Smart,0.0044,0.75,Vertical
378,Smart,0.0044,0.75,Vertical
379,Smart,0.0047,0.75,Vertical
380,Random,0.0088,0.75,Horizontal
381,Random,0.0076,0.75,Horizontal
382,Random,0.0088,0.75,Horizontal
383,Smart,0.0045,0.75,Vertical
384,Smart,0.0044,0.75,Vertical
385,Smart,0.0044,0.75,Vertical
386,Smart,0.0044,0.75,Vertical
387,Smart,0.0044,0.75,Vertical
388,Smart,0.0044,0.75,Vertical
389,Smart,0.0057,0.75,Vertical
390,Smart,0.0082,0.75,Vertical
391,Random,0.0064,0.75,Vertical
392,Smart,0.0044,0.75,Vertical
393,Smart,0.0044,0.75,Vertical
394,Smart,0.011,0.75,Vertical
395,Smart,0.0048,0.75,Vertical
396,Smart,0.0045,0.75,Vertical
397,Smart,0.0044,0.75,Vertical
398,Smart,0.0047,0.75,Vertical
399,Smart,0.0057,0.75,Vertical
400,Random,0.0065,0.75,Horizontal
401,Smart,0.0096,0.75,Vertical
402,Smart,0.0044,0.75,Vertical
403,Smart,0.0058,0.75,Vertical
404,Smart,0.0044,0.75,Vertical
405,Smart,0.0095,0.75,Vertical
406,Random,0.0076,0.75,Horizontal
407,Random,0.0101,0.75,Horizontal
408,Random,0.0088,0.75,Horizontal
409,Smart,0.0044,0.75,Vertical
410,Smart,0.0044,0.75,Vertical
411,Random,0.0101,0.75,Horizontal
412,Smart,0.0108,0.75,Vertical
413,Smart,0.0046,0.75,Vertical
414,Random,0.0088,0.75,Horizontal
415,Smart,0.0056,0.75,Vertical
416,Smart,0.0045,0.75,Vertical
417,Smart,0.0044,0.75,Vertical
418,Smart,0.0044,0.75,Vertical
419,Smart,0.0045,0.75,Vertical
420,Random,0.0089,0.75,Vertical
421,Smart,0.0044,0.75,Vertical
422,Smart,0.0044,0.75,Vertical
423,Smart,0.0044,0.75,Vertical
424,Random,0.0065,0.75,Vertical
425,Smart,0.0045,0.75,Vertical
426,Smart,0.0044,0.75,Vertical
427,Smart,0.0044,0.75,Vertical
428,Smart,0.0044,0.75,Vertical
429,Random,0.0065,0.75,Horizontal
430,Smart,0.0047,0.75,Vertical
431,Smart,0.0045,0.75,Vertical
432,Random,0.0106,0.75,Horizontal
433,Random,0.0115,0.75,Horizontal
434,Smart,0.0045,0.75,Vertical
435,Smart,0.0045,0.75,Vertical
436,Smart,0.0044,0.75,Vertical
437,Smart,0.0044,0.75,Vertical
438,Smart,0.0045,0.75,Vertical
439,Smart,0.0044,0.75,Vertical
440,Smart,0.0108,0.75,Vertical
441,Smart,0.0045,0.75,Vertical
442,Smart,0.0095,0.75,Vertical
443,Smart,0.0044,0.75,Vertical
444,Smart,0.0044,0.75,Vertical
445,Smart,0.0045,0.75,Vertical
446,Smart,0.0044,0.75,Vertical
447,Smart,0.0059,0.75,Vertical
448,Smart,0.0108,0.75,Vertical
449,Random,0.0091,0.75,Horizontal
450,Smart,0.0044,0.75,Vertical
451,Random,0.0076,0.75,Vertical
452,Smart,0.0159,0.75,Diagonal
453,Smart,0.0044,0.75,Vertical
454,Smart,0.0043,0.75,Vertical
455,Smart,0.0043,0.75,Vertical
456,Smart,0.0043,0.75,Vertical
457,Smart,0.0093,0.75,Vertical
458,Smart,0.0043,0.75,Vertical
459,Smart,0.0043,0.75,Vertical
460,Smart,0.0043,0.75,Vertical
461,Smart,0.0043,0.75,Vertical
462,Random,0.0087,0.75,Horizontal
463,Smart,0.0043,0.75,Vertical
464,Smart,0.0044,0.75,Vertical
465,Smart,0.0043,0.75,Vertical
466,Smart,0.0043,0.75,Vertical
467,Smart,0.0043,0.75,Vertical
468,Smart,0.0043,0.75,Vertical
469,Smart,0.0055,0.75,Vertical
470,Smart,0.0043,0.75,Vertical
471,Smart,0.0044,0.75,Vertical
472,Random,0.0088,0.75,Vertical
473,Smart,0.0044,0.75,Vertical
474,Smart,0.0043,0.75,Vertical
475,Smart,0.0043,0.75,Vertical
476,Random,0.0075,0.75,Horizontal
477,Smart,0.0081,0.75,Vertical
478,Smart,0.0043,0.75,Vertical
479,Smart,0.0055,0.75,Vertical
480,Random,0.005,0.75,Horizontal
481,Random,0.005,0.75,Horizontal
482,Smart,0.0043,0.75,Vertical
483,Smart,0.0043,0.75,Vertical
484,Smart,0.0043,0.75,Vertical
485,Smart,0.0044,0.75,Vertical
486,Random,0.0099,0.75,Horizontal
487,Smart,0.0095,0.75,Vertical
488,Random,0.0087,0.75,Horizontal
489,Smart,0.0043,0.75,Vertical
490,Smart,0.0043,0.75,Vertical
491,Smart,0.0043,0.75,Vertical
492,Smart,0.0043,0.75,Vertical
493,Smart,0.0043,0.75,Vertical
494,Random,0.015,0.75,Vertical
495,Smart,0.0043,0.75,Vertical
496,Smart,0.0043,0.75,Vertical
497,Smart,0.0043,0.75,Vertical
498,Random,0.0099,0.75,Horizontal
499,Smart,0.0043,0.75,Vertical
